,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
181,LilienStastna,I shouldn't have let me fall for you,Slovakia ,1545,499,17796,2,"No matter if you are #MercedesAMGF1 or #RedBull fan, these were our two moods 😂:

#SaudiArabianGP #SaudiArabiaGP https://t.co/oIV3FhcdA1","['MercedesAMGF1', 'RedBull', 'SaudiArabianGP', 'SaudiArabiaGP']"
182,Nathan_Eady,📸 @nathan_eady,UK,264,112,2958,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
183,Faujijpn_,♥️ALLAH ﷻ♥️ || #JapaneseMusic🇯🇵🎵 || #𝑵𝒂𝒓𝒖𝒕𝒐🍥 || #YOASOBI || #浜辺美波 || NoPorn (auto blokir) || #JSR || Sahabat Indonesia-Japan🇲🇨🇯🇵,"Sunrise of Java, Indonesia ",392,566,19488,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
184,SuperWomanMD,,"Dubai, United Arab Emirates",43,2,13,227,"For those of you pushing the British media's ""Max left no space"" bs, use your eyes please.
#SaudiArabianGP https://t.co/YJyaDnjhoF",['SaudiArabianGP']
185,formulastuff5,f1 - f2 - f3 🌱|| (she/her) ||,,226,54,161,200,"“Don’t push me, I’m going to cry,” Esteban Ocon to Sky after losing a podium on the line 🥺 #SaudiArabianGP",['SaudiArabianGP']
186,christonkin2,,Perth,238,115,1629,290,Max is incapable of racing cleanly. How many times do I have to tweet this? #F1 #SaudiArabianGP,"['F1', 'SaudiArabianGP']"
187,JuanmaLlana,"Golf, Televisión, Fútbol, Politica, Toros. Noticias, Analisis, Opinión, Crítica.",Valencia(España),738,331,16677,1560,"The big talking point from Jeddah 😱

#SaudiArabianGP 🇸🇦 #F1 https://t.co/bkWWqlcbyO","['SaudiArabianGP', 'F1']"
188,mehtaabhishek16,"#FIFA20 #Stayandplay #StayHomeSaveLives | Evolved from #movies, #comics, #videogames, #junkfood and #football. #mufc ❤️",,230,616,4423,638,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
189,tenth_hokage,Praise the Sun!,,56,63,3759,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
190,rmoheeputh,"Live every act fully, as if it were your last. ~ Buddha",cheshunt mostly ,2290,437,60528,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
191,ns____sn,"Work Hard, Be Humble✨🤘",,691,642,18018,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
192,YusefforPeace,"You will know the truth, and the truth will make you free. (John 8:32 NASB)❣️✌🏾✊🏾 2 Chronicles 7:14", SC,2569,2249,82968,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
193,JAISURYAN,I am a diehard THALAIVAR RAJNIKANTH and SURIYA fan.I have a passion for photography too.. enjoying the present moment of life.. :),"Coimbatore/ Warsaw, Poland",2076,2015,353517,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
194,logistic1351983,Logistics,,213,9,21,0,"Warm welcome from the crowds at #SaudiArabianGP to Saudi Prince Mohammed bin Salman 🇸🇦

#محمد_بن_سلمان_في_فورمولا1 

 https://t.co/0LtWYZwLGM","['SaudiArabianGP', 'محمد_بن_سلمان_في_فورمولا1']"
195,ENDSWAT16,"Cruise, Vibe,A Computer Engineer with blue blood #CFC","Stamford Bridge, England",620,272,28650,340,"Our top 🔟 under the lights!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/cjkswSYiBn","['SaudiArabianGP', 'F1']"
196,JamesHockneyLLB,"SEN/anti-bullying advocate, Business owner, Dad @The_C_D_G Exec, London #Conservative Councillor & Shadow Finance, Law Grad👨‍🎓 @CFOBUK Board🇧🇩 race driver🏁","Bush Hill Park, Edmonton.",1994,3270,26413,340,"Our top 🔟 under the lights!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/cjkswSYiBn","['SaudiArabianGP', 'F1']"
197,ahmed_nasserc,في العلا بدأنا لنري العالم تاريخ ماقبل الميلاد,العلا,321,74,9649,7,"And that’s a wrap! Saudi Arabia's first #F1 Grand Prix is complete. 🏆
 
Did you watch the action? Tell us where in the comments below 👇
 
#VisitSaudi #Overtakethefuture #Formula1 #SaudiArabianGP https://t.co/lFP2r4aIJp",['F1']
198,mehtaabhishek16,"#FIFA20 #Stayandplay #StayHomeSaveLives | Evolved from #movies, #comics, #videogames, #junkfood and #football. #mufc ❤️",,230,616,4423,50,"All the best bits from an unforgettable evening in Jeddah 🎥

#SaudiArabianGP 🇸🇦 #F1","['SaudiArabianGP', 'F1']"
199,NicoCouilloux,| Subway❤️ | Master Marketing Vente Université d’Artois | Pro Banza ❤️💛,"Nord-Pas-de-Calais, France",529,631,40400,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
200,PlacideDouam,"Anti extrêmes 👹(FI, RN, GiletsJ).
Astrophysique, Astronomie, politique, géopolitique, tennis, foot (fan de l'OM)
#LREM","Paris, France",1622,1623,136510,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
201,jdtp7_,Sonríe 🖤,"Bogotá, D.C., Colombia",2696,519,27495,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
202,Only_enobbled,,,174,46,673,2707,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
203,MSportMonday,"Motorsport Monday is a free weekly magazine delivered to you every Monday, featuring F1, WEC, WRC, IndyCar, NASCAR, WRX and more! Click below to register!",At a race track near you...,1218,6877,17160,2,"Gallery: The Saudi Arabian Grand Prix in photos
 
Full story 👉 https://t.co/JITq7tGSOF
 
#F1 #Gallery #SaudiArabianGP
https://t.co/JITq7tGSOF","['F1', 'Gallery', 'SaudiArabianGP']"
204,jackiejfrancois,,"Baldwin Harbor, NY",306,394,37674,11,"Just look at him 🥰🐐. Winning against all odds . I bet he is a exhausted from the bullshit people in #f1 throw at him 😒. They left nothing today , threw everything at him and he still won . 
Congratulations @LewisHamilton . #StillWeRise #LewisHamilton #SaudiArabianGP https://t.co/wXhPneuHVC",['f1']
205,lohoudominique,"Vous, Vous promettez que demain sera différent. Pourtant demain est souvent une Répétition.. D aujourd'hui..",N'importe Où...,109,159,71816,2,"#BREAKING 
#Mercedes’ #LewisHamilton has won the Saudi Arabian Grand Prix 

#SaudiArabianGP  #F1 #BreakingNews https://t.co/TBugiH6WEG","['BREAKING', 'Mercedes', 'LewisHamilton', 'SaudiArabianGP', 'F1', 'BreakingNews']"
206,isa_garda,,"Johannesburg, South Africa",668,361,2623,2707,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
207,NicolisCecilia,,,60,20,935,1,"Lewis Hamilton says there have been “multiple incidents” this season where “the rules haven’t been clear”, so Max Verstappen’s dangerous driving has been “allowed” to continue.

#F1 #TeamLH #SaudiArabianGP
https://t.co/Ub74BcCYp9",[]
208,F1GP_ManUtd,82K Official Tweets/Retweets of @F1 (https://t.co/SBzviySCVn) @SkySportsF1 @MercedesAMGF1 @autosport @autosportlive @Schumacher @KeepFighting @ManUtd (https://t.co/z9Q4uPu9dK),(Worldwide),83863,81702,218341,68,"Max Verstappen &amp; Lewis Hamilton have been with the stewards over *that* incident.

Verdict still awaited.

#SkyF1 | #F1 | #SaudiArabianGP 🇸🇦","['SkyF1', 'F1']"
209,melissaformula1,#LW44 #SV5,16 | she/her,184,95,653,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
210,AndrewsView,#F1 FANatic | #Radio in my veins | #ProAudio | #AV | #Marketing | #WakeUpShakeUp | #Coffee | #Music | #Vinyl,"Auckland Region, New Zealand",442,2377,12461,0,"This race smacked of WWE. Borderline OTT everything. Not that it would’ve made a diff here, but we need gravel traps to help deter driver approach to corners - and a rule book re- write. #SaudiArabianGP #F1","['SaudiArabianGP', 'F1']"
211,romaindps_,,"Dijon, France",485,57,1598,2708,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
212,cesar_omarvzla,"Ingeniero de la UNET fanatico del Deportivo Tachira y La Vinotinto. Esposo de @paty_troconis

Comento y analizo @varsport_1",Caracas- Venezuela,683,169,35404,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
213,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169269,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
214,theodoulou__,,Cyprus,20,0,50,7,"You can have a two place grid drop, or you can have whatever is in the mystery box

#SaudiArabianGP #F1 #WTF1 #Masi https://t.co/60PeYB7OwY","['SaudiArabianGP', 'F1', 'WTF1', 'Masi']"
215,TheEveileb,"Computer games - are my love. Electronics - are my best friend. I like to run early in the morning. Indigo. Vegan.
Languages: English, Russian.","Russia, Komi Republic",304,79,7996,2708,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
216,yu__ki0217,車と地車大好きマン😎地車/鳴物/太鼓/FEED/RX-7/Rotary🍙/SUPER GT/Hoppy Porsche/F1/Mercedes,古箕輪地車曳行会 青年部,522,648,41075,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
217,jackbenham13,"19

blm 
https://t.co/yrJi8rr6st", he/him ,907,110,12578,4,".@TPourchaire has confirmed that he is ""fine"" after being involved in a frightening #F2 start line crash with Enzo Fittipaldi in the feature race at the #SaudiArabianGP: 

https://t.co/3Sn2NxLYEv",['F2']
218,dannybeans27,THE™️ Ohio State University Class of '22 amateur Valorant caster and tourney organizer for @OSUBGC check us out https://t.co/XlqFzeazsA opinions are mine,Cbus,767,690,105549,1696,"Bottas gets Ocon for third ON THE LINE! 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/308x8PD3Lj","['SaudiArabianGP', 'F1']"
219,LewisFranck,"US Motorsports Writer - Reuters.  Expert Guest PRN Pit Reporters Wrote for ESPN the Magazine https://t.co/3TQGO3NZQH, https://t.co/MOX4C1lcHf. Driver of the Year PR",Wherever the racing is.,1336,10214,124461,2708,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
220,childishannibal,🦉,,46,144,61286,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
221,_Obj_WR,"⚫ Introvert.
⚫ Doing the Lord's work... living!
⚫ Just an ordinary GUY!
⚫ Love old Rn'b.
⚫ Here to have fun!
⚫ Chelsea FC, fan.
⚫ Foodie.
⚫ Private AF!
⚫ 🕊️","Durban, South Africa",2589,1221,3743,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
222,HasanMonshi,الحق يعلو ولا يعلى عليه,Kingdom of Saudi Arabia,4637,964,144445,8,"3 special trophies for the top 3 finishers at the #F1 stc #SaudiArabianGP! 🏆🇸🇦

#OvertakeTheFuture #نسابق_المستقبل #فورمولا1_في_السعودية https://t.co/yZLfAqeg9s","['F1', 'SaudiArabianGP', 'OvertakeTheFuture', 'نسابق_المستقبل']"
223,ASkorupsky,"❤❤️❤🇷🇺🇸🇦🌙🇦🇪🌹   
(🇺🇾)",Uruguay,266,2,83072,90,"#Formula1 #SaudiArabianGP.. 
The first race within the city streets in the world!
 #OvertakeTheFuture https://t.co/K9NXArwEQ9","['Formula1', 'SaudiArabianGP', 'OvertakeTheFuture']"
224,AbrahamHdez49,Tenerife🤩🌴,"Santa Cruz de Tenerife, España",229,49,1529,134,"WTF they use for front wings? 

#SaudiArabianGP https://t.co/Ahg84RXHEK",['SaudiArabianGP']
225,todayis_yudis,nowhere to run!,,48,18,1634,15129,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
226,LisandraDuda,"deus é o caminho
e luz e sabedoria","Olinda, Brasil",1048,437,150464,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
227,gapilly01234,Se feliz,,328,14,4833,1034,"After 50 intense laps of battling, the emotions come pouring out for @MercedesAMGF1
 
#SaudiArabianGP 🇸🇦 #F1 https://t.co/JMXkWwKPyq","['SaudiArabianGP', 'F1']"
228,RayanMotorsport,Motorsport lover,España ,117,179,3918,0,"@DaniLeo_Racing I think there's plenty to be done in the FIA to improve the way they operate. In my opinion Masi is a good man, a good professional. But I don't understand the issue they got not penalize Verstappen in Brazil, or today's ""offers"" to penalize him as well. #SaudiArabianGP #F1","['SaudiArabianGP', 'F1']"
229,PedroCalNie,Ingeniero Mecánico,"Valledupar, Colombia",2172,896,12323,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
230,edgarvaldess,v a p o r t e x t a r o u n d m y l i f e f o r e v e r,,122,309,13432,1159,"Will @Max33Verstappen be crowned champion in Saudi Arabia on Sunday? 👑🏆

Here is how it *could* happen on race day in Jeddah 👀

#SaudiArabianGP 🇸🇦 #HistoryAwaits https://t.co/E3k2uM7VoP",[]
231,adriag41,💛🖤,"Móstoles, España",548,128,31780,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
232,WkOfwOGPWLWPgK1,,,94,99,3998,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
233,c666jk,"You only get one shot, so make it count",🇨🇳/🇧🇷/🇺🇸,254,358,5631,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
234,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169269,2411,"Max is your #F1DriverOfTheDay in Jeddah

#SaudiArabianGP 🇸🇦 #F1 https://t.co/FyWnWcXvYY","['F1DriverOfTheDay', 'SaudiArabianGP', 'F1']"
235,mazenx2x12,🇸🇦M$,المدينة دائما جدة ينبع,1987,441,23095,1265,"The moment @LewisHamilton drew level in the championship fight, with victory in Saudi Arabia ⚔️

#SaudiArabianGP 🇸🇦 #F1 https://t.co/plmETztmoh","['SaudiArabianGP', 'F1']"
236,Eunan__V2,@CelticFC @ManUtd @albionrovers,"Coatbridge, Scotland",2047,1065,20687,27,Perez after nearly hitting Verstappen at turn 1 #F1 #SaudiArabianGP https://t.co/8VxTuNd2RY,"['F1', 'SaudiArabianGP']"
237,theodoulou__,,Cyprus,20,0,50,22,Michael Masi to Red Bull on the team radio. #F1 #SaudiArabianGP https://t.co/PTLiwhm9dw,"['F1', 'SaudiArabianGP']"
238,kingsmithy7,Walsall. Real Oviedo. AG99 KR7 VB77,At home ,4789,1817,44335,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
239,kojo_XO,hedonist. rebel. non conformist.,DXB•LHR•LOS•ACC•CPT•LAX,3273,4286,250798,639,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
240,cesar_omarvzla,"Ingeniero de la UNET fanatico del Deportivo Tachira y La Vinotinto. Esposo de @paty_troconis

Comento y analizo @varsport_1",Caracas- Venezuela,683,169,35404,639,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
241,boboh_cyn,THE LADY 💁,Nairobi,602,1432,72041,11603,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
242,El_MarchandPE,"Comunicador que no comunica. 
Publicista que tuitea como periodista deportivo.
Planner que no planifica ni su desayuno. 
Hincha Celeste.
Federista","Lima, Peru",1168,231,34824,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
243,abuthuhayr,,Saudi Arabia   Snap : abdan787,1085,754,21786,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
244,mclarendo4,"LN4 || EO31 || GR63 || SV5 || MS47                      
🏎🏒🏈",17,228,70,4657,32,"""The team did a good job and I thought I drove a good race, but the red flags changed everything.” 🚩😳

@LandoNorris shares his thoughts on the #SaudiArabianGP. Hear from the rest of the team too. 💬👇",[]
245,Charlie69LA,Charlie,,57,5,144,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
246,domenico_21st,Albeit it moves (Galileo Galilei-17th ) (personal account) 🇺🇸 🇪🇺,San Francisco,955,248,782,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
247,snipersengh,without fear without hate,Canada,98,164,2777,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
248,Sency03,,"UK, London",297,38,402,290,Max is incapable of racing cleanly. How many times do I have to tweet this? #F1 #SaudiArabianGP,"['F1', 'SaudiArabianGP']"
249,Hicko33,"F1 account. Max fan with occasional MUFC tweets / MV33, LN4, SV5, Cristiano Enthusiast 🏎 @redbullracing stan account. I love my beautiful wife @_coleeee",,240,229,1367,227,"For those of you pushing the British media's ""Max left no space"" bs, use your eyes please.
#SaudiArabianGP https://t.co/YJyaDnjhoF",['SaudiArabianGP']
250,enekot_5,,,153,108,3710,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
251,orihestrelinha,Futuro engenheiro e nerdola,"Rio das Ostras, Brasil",316,27,733,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
252,jxy_6,queen of disaster,"London, England",286,541,15514,1731,"LEWIS: ""I've been racing a long time, but that was incredibly tough! I tried to be as tough and as sensible as I could out there, with all my experience over the years... It as difficult, but we persevered as a team""

#SaudiArabianGP 🇸🇦 #F1 https://t.co/chzxvXuiaW",[]
253,ewurpel,"I love Saskia, Aurelia & Savine | Film | Cooking | Kite Surfing | The Beach","Overveen, The Netherlands",503,534,6674,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
254,michiyonnnF1,"@michiyonnのF1用サブアカウント。
FPから決勝までタグをつけてうるさくつぶやきます。
無言フォローお許しください。
今シーズンはScuderia AlphaTauriを推しています。",東京都東の端,59,28,1367,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
255,Gapss3,D1 Peak 💎,,260,14,3633,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
256,TerenceQuma,"Who am I? Husband, Father, I'm Phakamisa son, son of Willie 1872, son of Mpambane, son of Quma and son of Ndukuda. MPONDOMISE know your family tree",Jozi,1374,114,12807,438,"""That has got to be the craziest race I remember!""

Lewis and Bono debrief after the flag in Jeddah 🏁

#SaudiArabianGP 🇸🇦 #F1 https://t.co/XgpZ1KBKB2","['SaudiArabianGP', 'F1']"
257,elplanenjoyer,CEO of Ponzis | Investor #BNB $LEAFTY $GME $SHIB $LRC $MNSTRS a.k.a pokecoños |,,647,260,12230,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
258,StigSpielberg,Petrolhead & Car Videographer on YouTube | Follow @StigSpielberg & subscribe to https://t.co/8hcGcmMdsU for anything automotive.,,112,88,4888,1,"@Danielwray97 @WallacePJW Magnificent machines: #Vantage safety car &amp; medical car #DBX.😍
Lot of Aston Martin airtime at #SaudiArabianGP.🏁

Off topic: sorry @harrismonkey. Cldn't yet see @BBC_TopGear bc of #Formula1 #aftertalk. I'll watch rerun. Heard @PaddyMcGuinness &amp; #Victor played a part!😉 #Astunday","['Vantage', 'DBX']"
259,MSportMonday,"Motorsport Monday is a free weekly magazine delivered to you every Monday, featuring F1, WEC, WRC, IndyCar, NASCAR, WRX and more! Click below to register!",At a race track near you...,1218,6877,17160,3,"Over-regulated F1 missed Whiting in Jeddah - Horner
 
Full story 👉 https://t.co/7Fz6mcKGRL
 
#F1 #Horner #SaudiArabianGP #Whiting
https://t.co/7Fz6mcKGRL","['F1', 'Horner']"
260,abelgonzalez,"Ing. Mec. Elec. por la UNAM, ¡PUMA!. BA, PMP, CMMI Consultant, ITIL, Scrum Master Certified. Luchando por alcanzar ese Sueño Imposible. Ad Jesum per Mariam.",Ciudad de México,4995,1201,182969,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
261,Eoin_l_,"F1 fan. Schumacher fan 🐐 Verstappen fan. Arctic Monkeys,  Eminem, GAA and apparently Kanye West fan by default.","Drogheda, Ireland",197,84,3520,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
262,OgaDaIgwe,Blissfully Married to Lovely Wife| Father to Wonderful Kids | Music Lover| DJ | Social Activist| Comedy Fanatic| Leader | Considerate Superhero.,Jozi,842,241,7380,76,Verstappen leads the championship by virtue of his ‘win’ at Spa. Let that sink in. Madness… #F1 #SaudiArabianGP 🇸🇦,"['F1', 'SaudiArabianGP']"
263,ACETAKEYT,,,999,65,5686,227,"For those of you pushing the British media's ""Max left no space"" bs, use your eyes please.
#SaudiArabianGP https://t.co/YJyaDnjhoF",['SaudiArabianGP']
264,showkatana7,元・高校教師。現在は何故か(?)銀行員です（笑）,東京都,5000,2793,1233160,322,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
265,ghostoriess,🏁🎾,,110,751,69414,2709,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
266,atmyk_wg8,職業：チェキ購入,東京都,387,179,31164,15131,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
